Metin,metin_lemmatized
Çok memnunum iyi bir cihaz,"['memnun', 'iyi', 'bir', 'cihaz']"
Ürün fiyatına göre çok çok kaliteli,"['ürün', 'fiyat', 'göre', 'kaliteli']"
urun anlatıldığı gibi ve kargo hızli,"['ur', 'anlatıldık', 'kargo', '']"
Çok iyi . sıfıra yakın sakal trasi için mükemmel,"['iyi', 'sıfır', 'yak', 'sakal', '', 'mükemmel']"
Oğlum kullanıyor. Gayet iyi ve kullanışlı.,"['oğul', 'kullan', 'gayet', 'iyi', 'kullanışlı']"
pandemi döneminde aldim gayet kullanisli,"['', 'dönem', '', 'gayet', '']"
gayet iyi cok begendim,"['gayet', 'iyi', '', '']"
Sakal için ama kısa saçlarıda çok iyi kesiyor,"['sakal', 'kısa', '', 'iyi', 'kes']"
sağlam ve hızlı kargo,"['sağlam', 'hızlı', 'kargo']"
babam a hediye aldım gayet memnun,"['baba', 'a', 'hediye', 'al', 'gayet', 'memnun']"
"ürün fiyatı,kendisi ve kargo süreci gayet iyi","['ürün', '', 'kargo', 'süreç', 'gayet', 'iyi']"
"Özellikle sakal, ense ve fauller için çok iyi ????","['özellik', 'sakal', 'ense', 'faul', 'iyi']"
Beş yıldızı hakkediyor..,"['beş', 'yıldız', 'hakket']"
ürünü beğendim fiyat performans ürünü.,"['ürün', 'beğen', 'fiyat', 'performans', 'ürün']"
Kaliteli ve kullanımı güzel,"['kaliteli', 'kullanım', 'güzel']"
eşime aldim çom beyendi,"['eşim', '', '', '']"
cok guzel uygun fiyat,"['', '', 'uygun', 'fiyat']"
cok iyi almanızı tavsiye ederim,"['', 'iyi', 'alma', 'tavsiye', 'eder']"
Kargo hızlı ve ürün güzel. Eşim çok memnun kaldı,"['kargo', 'hızlı', 'ürün', 'güzel', 'eşim', 'memnun', 'kal']"
Kuaförde görerek aldığım ürün. Gayet başarılı,"['kuaför', 'görerek', 'aldık', 'ürün', 'gayet', 'başarılı']"
kargo hızlı urun harika 300E 500E gerek yok ????,"['kargo', 'hızlı', 'ur', 'harika', 'e', 'e', 'gerek', 'yok']"
"eşime aldım çok memnun kaldı, çalışması çok iyi","['eşim', 'al', 'memnun', 'kal', 'çalışma', 'iyi']"
Sakal saç çok güzel alıyor,"['sakal', 'saç', 'güzel', 'al']"
Çalışması çok iyi ?? ??,"['çalışma', 'iyi']"
eşime hediye aldım çok beğendi,"['eşim', 'hediye', 'al', 'beğen']"
çok iyi kullanışlı güzel,"['iyi', 'kullanışlı', 'güzel']"
Kaliteli Güzel Fiyatı Uygun,"['kaliteli', 'güzel', 'fiyat', 'uygun']"
Tek geçerim bu ürünü.,"['tek', 'geç', 'ürün']"
Sıfır kesiyor çok kaliteli bi makina,"['sıfır', 'kes', 'kaliteli', '', '']"
mükemmel makine kusursuz,"['mükemmel', 'makine', 'kusursuz']"
cok kaliteli her erkegin almadi gerekir,"['', 'kaliteli', '', '', 'gerek']"
Erkek arkadasıma hediye aldım cok begendi ????,"['erkek', '', 'hediye', 'al', '', '']"
Hızlı kargo ürün kaliteli,"['hızlı', 'kargo', 'ürün', 'kaliteli']"
Çok iyii çok beğendik,"['', 'beğen']"
ürün kaliteli uzun sureli saglam,"['ürün', 'kaliteli', 'uzun', 'sureli', '']"
Eşim memnun kaldı. Tavsiye ederiz,"['eşim', 'memnun', 'kal', 'tavsiye', 'eder']"
Hızlı kargo için teşekkür ederiz,"['hızlı', 'kargo', 'teşekkür', 'eder']"
harika5 yıldızı hak ettiniz .,"['harika', 'yıldız', 'hak', 'et']"
"sakal için iş görür, güzel bir cihaz.","['sakal', 'iş', 'gör', 'güzel', 'bir', 'cihaz']"
Beklediğim gibiydi çok kullanışlı,"['bekledik', 'gibi', 'kullanışlı']"
Çok beğendim ve çok hızlı kargo teşekkürler,"['beğen', 'hızlı', 'kargo', 'teşekkür']"
Fiyat performans efsane,"['fiyat', 'performans', 'efsane']"
Küçük portatif kesinlikle iş görür,"['küçük', 'portatif', 'kesinlik', 'iş', 'gör']"
Fiyat perfonmans ürünü,"['fiyat', '', 'ürün']"
Harika tavsiye ediyorum,"['harika', 'tavsiye', 'et']"
makine mükemmel çok güzel,"['makine', 'mükemmel', 'güzel']"
mükemmel bir uru olup almanızı tavsiye ederim,"['mükemmel', 'bir', 'ur', 'olup', 'alma', 'tavsiye', 'eder']"
güzel beklediğim gibiydi,"['güzel', 'bekledik', 'gibi']"
harika5 yıldızı hak ettiniz .,"['harika', 'yıldız', 'hak', 'et']"
"Mükemmel fazla söze gerek yok, Jilete de gerek yok","['mükemmel', 'fazla', 'söz', 'gerek', 'yok', 'jilet', 'gerek', 'yok']"
çok iyi mutlaka alın pişman olmazsınız,"['iyi', 'mutlaka', 'al', 'pişman', 'olmaz']"
Gayet güzel. Parasını hakediyo,"['gayet', 'güzel', 'para', 'hâket']"
Sağlam kullanışlı ekonomik ürün,"['sağlam', 'kullanışlı', 'ekonomik', 'ürün']"
"kardeşim için almıştım , çok memnun kaldı :)","['kardeş', 'al', 'memnun', 'kal']"
cok basarili hızlı kargo tavsiye ederim,"['', 'basarili', 'hızlı', 'kargo', 'tavsiye', 'eder']"
Beş yıldızı hakkediyor..,"['beş', 'yıldız', 'hakket']"
Kullanimi gercekten cok rahat,"['', '', '', 'rahat']"
ürün kaliteli uzun sureli saglam,"['ürün', 'kaliteli', 'uzun', 'sureli', '']"
cok iyi almanızı tavsiye ederim,"['', 'iyi', 'alma', 'tavsiye', 'eder']"
ürün tam istediğim gibi,"['ürün', 'tam', 'istedik']"
guzel ve saglam tavsiye ederim,"['', '', 'tavsiye', 'eder']"
ürünün gayet güzel kullanışlı ??,"['ürün', 'gayet', 'güzel', 'kullanışlı']"
Kargo hızlı ve ürün güzel. Eşim çok memnun kaldı,"['kargo', 'hızlı', 'ürün', 'güzel', 'eşim', 'memnun', 'kal']"
Çok kaliteli ve yerli malı,"['kaliteli', 'yerli', 'mal']"
Süper bir ürün nerdeyse,"['süper', 'bir', 'ürün', '']"
urunu begemdim 5 tane aldim cok iyiler,"['ur', '', 'tane', '', '', 'iyi']"
mükemmel bir ürün tavsiye ederim,"['mükemmel', 'bir', 'ürün', 'tavsiye', 'eder']"
çok iyi şiddetle tavsiye ederim,"['iyi', 'şiddet', 'tavsiye', 'eder']"
Fiyat performans olarak başarılı,"['fiyat', 'performans', 'olarak', 'başarılı']"
ürün çok güzel çok beğendim,"['ürün', 'güzel', 'beğen']"
super urun fp tam olarak,"['', 'ur', '', 'tam', 'olarak']"
ürün hem uygun hem kaliteli,"['ürün', 'uygun', 'kaliteli']"
Güzel bir makine tavsiye ederim,"['güzel', 'bir', 'makine', 'tavsiye', 'eder']"
Memnunum güzel makina,"['memnun', 'güzel', '']"
Her evde kesinlikle bulunması gereken bir makine,"['ev', 'kesinlik', 'bulunma', 'gereken', 'bir', 'makine']"
2. kez sipariş verdim. ense ve sakal için çok iyi.,"['sipariş', 'verdi', 'ense', 'sakal', 'iyi']"
Kullanımı güzel bir ürün. Tavsiye ederim??????,"['kullanım', 'güzel', 'bir', 'ürün', 'tavsiye', 'eder']"
biraz geç geldi ama yinide tskler,"['biraz', 'geç', 'gel', '', '']"
kargo çok hızlı geldi,"['kargo', 'hızlı', 'gel']"
urun guzel sifira yakin aliyo begendim,"['ur', '', '', 'yakin', 'al', '']"
eşime hediye olarak aldim çok begendi,"['eşim', 'hediye', 'olarak', '', '']"
"Çok kullanışlı bir ürün, teşekkürler Trendyol.","['kullanışlı', 'bir', 'ürün', 'teşekkür', '']"
memnunum kullanisli bir ürün.,"['memnun', '', 'bir', 'ürün']"
Tek sıkıntısı 2 yıl sonra bozuluyor,"['tek', 'sıkıntı', 'yıl', 'sonra', 'bozul']"
Eşime hediye olarak aldım çok beğendi.,"['eşim', 'hediye', 'olarak', 'al', 'beğen']"
Gerçekten çok güzel bir ürün.,"['gerçekten', 'güzel', 'bir', 'ürün']"
"çok kaliteli,ağır güzel bir makina","['', 'güzel', 'bir', '']"
ürün çok güzel çok beğendim,"['ürün', 'güzel', 'beğen']"
çok iyi şiddetle tavsiye ederim,"['iyi', 'şiddet', 'tavsiye', 'eder']"
tam istediğim gibi geldi teşekkürler,"['tam', 'istedik', 'gel', 'teşekkür']"
urunu begemdim 5 tane aldim cok iyiler,"['ur', '', 'tane', '', '', 'iyi']"
Çok kaliteli ve yerli malı,"['kaliteli', 'yerli', 'mal']"
"5 aydır kullanıyorum, tık demedi.","['ay', 'kullan', 'tık', 'de']"
Gayet güzel tavsiye ederim,"['gayet', 'güzel', 'tavsiye', 'eder']"
ürün çok iyi fiyat performans olarak,"['ürün', 'iyi', 'fiyat', 'performans', 'olarak']"
mükemmel bir ürün tavsiye ederim,"['mükemmel', 'bir', 'ürün', 'tavsiye', 'eder']"
çok güzel bir ürün kullanıyorum tavsiye ederim,"['güzel', 'bir', 'ürün', 'kullan', 'tavsiye', 'eder']"
"İyi ürün, hızlı kargo","['iyi', 'ürün', 'hızlı', 'kargo']"
ürün mükemmel hızlı teslimat,"['ürün', 'mükemmel', 'hızlı', 'teslimat']"
gayet iyi başarılı ürün.,"['gayet', 'iyi', 'başarılı', 'ürün']"
tam 0 almasada iyi iş görüyor.,"['tam', '', 'iyi', 'iş', 'gör']"
Herhangi bi sorun yaşamadım ??,"['herhangi', '', 'sorun', 'yaşa']"
ürün çok güzel güvenilir satıcı,"['ürün', 'güzel', 'güvenilir', 'satıcı']"
harika ürün,"['harika', 'ürün']"
eşim oldukça memnun,"['eşim', 'oldukça', 'memnun']"
güzel oneririm,"['güzel', '']"
kaliteli güzel tavsiye ederim,"['kaliteli', 'güzel', 'tavsiye', 'eder']"
güzel urun küçük kibar ama guclude,"['güzel', 'ur', 'küçük', 'kibar', '']"
Fiyatı da çok iyi kalitesi de sakal için de ço güzel,"['fiyat', 'iyi', 'kalite', 'sakal', '', 'güzel']"
önceden de kullandığımız bir ürün uygun fiyata kaliteli bir ürün. tavsiye ederim,"['önceden', 'kullandık', 'bir', 'ürün', 'uygun', 'fiyat', 'kaliteli', 'bir', 'ürün', 'tavsiye', 'eder']"
2 adet sipariş vermiştim. Ürünler çok kısa sürede elime ulaştı. Ebatları biraz küçük ama canavar gibi traş ediyorlar. Ancak şarj aleti çok basit ve sıradan yapılmış. Benim için bu da çok önemli değil çünkü telefon şarj cihazıyla da şarj edebiliyorum. Bu çok güzel bir özellik. Beklentiniz çok yüksek değilse alın derim.,"['adet', 'sipariş', 'ver', 'ürün', 'kısa', 'süre', 'elim', 'ulaş', 'ebat', 'biraz', 'küçük', 'canavar', '', 'et', 'ancak', 'şarj', 'alet', 'basit', 'sıradan', 'yapıl', 'ben', 'önemli', 'değil', 'telefon', 'şarj', 'cihaz', 'şarj', 'edebil', 'güzel', 'bir', 'özellik', 'beklenti', 'yüksek', 'değil', 'al', 'deri']"
"Şarjı uzun gidiyor, bu açıdan iyi. Telefon şarj aygıtı ile de şarj edilebiliyor. Bu da güzel. Ancak makineye takılan 1-2-3 numara başlıklar çok ince tıraşlar için tasarlanmış. Yani uzun saç tıraşı yapacaksanız, bu makine pek işinizi görmez. Ama ense tıraşı için falan çok iyi.","['şarj', 'uzun', 'git', 'açı', 'iyi', 'telefon', 'şarj', 'aygıt', 'şarj', 'edilebil', 'güzel', 'ancak', 'makine', 'takılan', 'numara', 'başlık', 'ince', 'tıraş', 'tasarlan', 'uzun', 'saç', 'tıraş', 'yap', 'makine', 'pek', 'iş', 'görmez', 'ense', 'tıraş', 'falan', 'iyi']"
Ürün güzeldi fakat PTT kargo ile çalışılması beni çok yordu 7 günde aldım ürünü üstelik yerine gidip aldım orda da bir süre bekledim beklesem 20 günde ancak gelir belki de hiç gelmez gibi görünüyordu.,"['ürün', 'güzel', 'fakat', '', 'kargo', 'çalışılma', 'ben', 'yor', 'günde', 'al', 'ürün', 'üstelik', 'yerine', 'gidip', 'al', '', 'bir', 'süre', 'bekle', 'bekle', 'günde', 'ancak', 'gelir', 'gel', 'görün']"
urun kaliteli gorunuyor. tek sikintisi bicaklari hemen isiniyor birbirin uzerinde surtunmeden dolayi. sadece ense veya sakal icin iyi makine.,"['ur', 'kaliteli', '', 'tek', 'sikinti', '', 'hemen', '', 'birbiri', 'Uzer', '', '', 'sade', 'ense', 'sakal', '', 'iyi', 'makine']"
Sakal traşı için aldım. Taraksız kullandığınız zaman dipten çok iyi alıyor. Ancak Ürünün uc kısmı hiç törpülenmediği icin jilet gibi cok keskin. Korkuyla kullanıyorum. Yüze veya vücudun neresine ucundan temas etirirsen jilet kesiği gibi kanatıyor. Sakal kesiminde yüzüm kan içinde kaldı.,"['sakal', '', 'al', 'taraksız', 'kullandık', 'zaman', 'dip', 'iyi', 'al', 'ancak', 'ürün', '', 'kısım', 'törpülenmedik', '', 'jilet', '', 'keskin', 'korku', 'kullan', 'yüz', 'vücut', 'neresi', 'uç', 'temas', '', 'jilet', 'kesiğ', 'kanat', 'sakal', 'kesim', 'yüzüm', 'kan', 'içinde', 'kal']"
saç icin uygun değil..belki ben tum yorumlari okumadim ama..başliklari ve sayisi sakal icin uygun. zaten kutusunda yaziyor keske Trendyol da bu sekilde açıklama ekleseydi.,"['saç', '', 'uygun', '', 'ben', 'tu', '', '', '', '', 'sakal', '', 'uygun', 'zaten', 'kutu', '', '', '', 'sekil', 'açıkla', 'ekle']"
Ürün buradan bakıldığında metal gözüküyor ve o niyetle aldım ama öyle değil bu niyetle alacak olan varsa almasın ama fiyata göre kullanışlı ve uygun.,"['ürün', 'buradan', 'bakıldığında', 'metal', 'gözük', 'niyet', 'al', 'öyle', 'değil', 'niyet', 'alacak', 'olan', 'var', 'al', 'fiyat', 'göre', 'kullanışlı', 'uygun']"
"ürün iyi ama saç için değil, sadece sakal ve ense için. sakal ve ense için alacaksanız düşünmeden alın ancak saç için kesinlikle olmaz","['ürün', 'iyi', 'saç', 'değil', 'sade', 'sakal', 'ense', 'sakal', 'ense', 'alacak', 'düşünmeden', 'al', 'ancak', 'saç', 'kesinlik', 'olmaz']"
Siparişi abim için verdik en uygunu buradaydı memnun kaldı,"['sipariş', 'abi', 'ver', 'uygun', 'burada', 'memnun', 'kal']"
Ürünü youtube da inceledim ve gelen ürün beklediğim gibi çıktı. İyi bir teslimat oldu.,"['ürün', '', 'incele', 'gelen', 'ürün', 'bekledik', 'çıktı', 'iyi', 'bir', 'teslimat', 'oldu']"
Gayet güzel bir ürün tavsiye ederim kullanıyorum ve memnunum herşey için çok teşekkür ederim,"['gayet', 'güzel', 'bir', 'ürün', 'tavsiye', 'eder', 'kullan', 'memnun', '', 'teşekkür', 'eder']"
kuvvetli ve iyi kesiyor. tek sorun biraz fazla sesli çalışıyor.,"['kuvvetli', 'iyi', 'kes', 'tek', 'sorun', 'biraz', 'fazla', 'sesli', 'çalış']"
"Güzel sadece kirli sakal bırakıyor, şarzı uzun süre gidiyor ????","['güzel', 'sade', 'kirli', 'sakal', 'bırak', '', 'uzun', 'süre', 'git']"
Hızlı kargo ve piyasadaki birçok üründen iyi berberimde görüp sipariş etmiştim harika bir ürün,"['hızlı', 'kargo', 'piyasa', 'birçok', 'ürün', 'iyi', 'berber', 'görüp', 'sipariş', 'et', 'harika', 'bir', 'ürün']"
gayet güzel kullanışlı ürün bu pandemi döneminde güzel iş görüyor.,"['gayet', 'güzel', 'kullanışlı', 'ürün', '', 'dönem', 'güzel', 'iş', 'gör']"
Ürün güzel sıfıra yakın kesiyor fakat paketleme özensiz içinden tarakları çıkmadı,"['ürün', 'güzel', 'sıfır', 'yak', 'kes', 'fakat', 'paketle', 'özensiz', 'içinde', 'tarak', 'çık']"
paketleme çok kötü aldığım ürünlerin üstü tozdan görünmuyecek nerdeyse. yani bi özveri göremedim...,"['paketle', 'kötü', 'aldık', 'ürün', 'üst', 'toz', '', '', '', 'özveri', 'gör']"
"sakal tirasi icin on numara,sac tirasi olmaz kazimiyorsaniz eger","['sakal', '', '', 'on', '', '', 'olmaz', '', '']"
Enseyi kestiğinizde aşırı tahriş ediyor makine çok hızlı çalışıyor. Enseniz ?ıpkırmızı olabilir.,"['ense', 'kestik', 'aşırı', 'tahriş', 'et', 'makine', 'hızlı', 'çalış', 'ense', '', 'olabilir']"
Eşime aldik ancak sert sakalda cildi tahriş edip kızarıklık oluşturdu. Vücut için ideal.,"['eşim', '', 'ancak', 'sert', 'sakal', 'cilt', 'tahriş', 'edip', 'kızarıklık', 'oluştur', 'vücut', 'ideal']"
tavsiye ederim sıfıra yakın sakal tıraşı için güzel bir makinesi,"['tavsiye', 'eder', 'sıfır', 'yak', 'sakal', 'tıraş', 'güzel', 'bir', 'makine']"
gayet iyi ve kullanışlı sadece tarak sayısı 1 2 tane daha olabilirdi,"['gayet', 'iyi', 'kullanışlı', 'sade', 'tarak', 'sayı', 'tane', 'olabilir']"
ürün güzel lakin kesimde küçük takılmalar oluyor. fiyatına göre başarılı motoru kuvvetli,"['ürün', 'güzel', 'lakin', 'kesim', 'küçük', 'takılma', 'ol', 'fiyat', 'göre', 'başarılı', 'motor', 'kuvvetli']"
Çok güzel bir ürün tr-658 ekstradan şarj olanağı olması da süper.,"['güzel', 'bir', 'ürün', '', 'ekstra', 'şarj', 'olanak', 'olma', 'süper']"
Hızlı kargo ve ürün aynısı geldi teşekkürler kullanımıda gayet güzel,"['hızlı', 'kargo', 'ürün', 'aynısı', 'gel', 'teşekkür', '', 'gayet', 'güzel']"
Kullanışlı güzel bir ürün ama parçaları biraz daha kaliteli olabilirdi,"['kullanışlı', 'güzel', 'bir', 'ürün', 'parça', 'biraz', 'kaliteli', 'olabilir']"
çok kullanışlı tavsiye ederim.,"['kullanışlı', 'tavsiye', 'eder']"
Kardeşime almıştım memnun kaldı,"['kardeş', 'al', 'memnun', 'kal']"
gerçekten sinek kaydı gibi alıyor,"['gerçekten', 'sinek', 'kayıt', 'al']"
plastiği çok kaliteli değil ama günü kurtarıyor,"['plastik', 'kaliteli', 'değil', 'günü', 'kurtar']"
Şarj süresin de hiç bir sıkıntı yaşanmadı güzel,"['şarj', 'süre', 'bir', 'sıkıntı', 'yaşan', 'güzel']"
Çok güzel sıfır almıyor ama güzel :),"['güzel', 'sıfır', 'al', 'güzel']"
ellerinize saglik cok tesekkur ederim??,"['el', '', '', '', 'eder']"
Kullanılacak iş gören makına,"['kullanıl', 'iş', 'göre', '']"
eşim e hediye aldım çok memnun kaldı,"['eşim', 'e', 'hediye', 'al', 'memnun', 'kal']"
motor gücü iyi kullanışlı bir tras makinası,"['motor', 'gücü', 'iyi', 'kullanışlı', 'bir', 'tras', '']"
Gayet iyi herkese tavsiye ederim,"['gayet', 'iyi', 'herkes', 'tavsiye', 'eder']"
Ürün çok kaliteli ve güzel bi ürün,"['ürün', 'kaliteli', 'güzel', '', 'ürün']"
bekledigim gibi geldi tesekkurler powertec:),"['', 'gel', '', '']"
gayet güzel çalışıyor şimdilik 10 numara,"['gayet', 'güzel', 'çalış', 'şimdilik', 'numara']"
"Üründen memnun kaldık,hızlı teslimat????","['ürün', 'memnun', '', 'teslimat']"
tam bir fiyat performans ürünü,"['tam', 'bir', 'fiyat', 'performans', 'ürün']"
ürün çok başarılı teşekkür ederim,"['ürün', 'başarılı', 'teşekkür', 'eder']"
Fiyat performans güzel,"['fiyat', 'performans', 'güzel']"
gerçekten süper bir ürün,"['gerçekten', 'süper', 'bir', 'ürün']"
güzel bir cihaz çok memmunum,"['güzel', 'bir', 'cihaz', '']"
Güzel ürün. Tavsiye ederim,"['güzel', 'ürün', 'tavsiye', 'eder']"
Çok güzel makina güvenle alabilirsiniz,"['güzel', '', 'güven', 'alabil']"
Tam anlamıyla mükemmel,"['tam', 'anlam', 'mükemmel']"
Gayet iyi babama almıştım.,"['gayet', 'iyi', 'baba', 'al']"
Güzel satış hızlı kargo,"['güzel', 'satış', 'hızlı', 'kargo']"
mükemmel bir makine kesinlikle öneririm.,"['mükemmel', 'bir', 'makine', 'kesinlik', 'öner']"
çok kaliteli bir ürün cok memnun kaldım,"['kaliteli', 'bir', 'ürün', '', 'memnun', 'kal']"
ürün gayet iyiydi satıcaya ve trendyol ekibine,"['ürün', 'gayet', 'iyi', 'satıca', '', 'ekip']"
Harka urun tavsiye ederim,"['', 'ur', 'tavsiye', 'eder']"
Süper bir ürün pişman olmazsınız,"['süper', 'bir', 'ürün', 'pişman', 'olmaz']"
Kullanılacak iş gören makına,"['kullanıl', 'iş', 'göre', '']"
Tek kelimeyle harika bir ürün,"['tek', 'kelime', 'harika', 'bir', 'ürün']"
Tek kelime ile harika...,"['tek', 'kelime', 'harika']"
urun çok cok cok iyi herkese tavsiye ederim,"['ur', '', '', 'iyi', 'herkes', 'tavsiye', 'eder']"
eşim için almıştım çok beğendi,"['eşim', 'al', 'beğen']"
Kullanışlı güzel bir ürün,"['kullanışlı', 'güzel', 'bir', 'ürün']"
ürün den memmun kaldım teşekkürler spr ürün,"['ürün', 'den', '', 'kal', 'teşekkür', '', 'ürün']"
çok işime yaradı pandemi döneminde. teşekkürler,"['iş', 'yara', '', 'dönem', 'teşekkür']"
Çok başarılı kesinlikle tavsiye ediyorum.,"['başarılı', 'kesinlik', 'tavsiye', 'et']"
Gayet iyi herkese tavsiye ederim,"['gayet', 'iyi', 'herkes', 'tavsiye', 'eder']"
Ürün çok iyi küçük kılları dahi alıyor ??,"['ürün', 'iyi', 'küçük', 'kıl', 'dahi', 'al']"
Gayet iyi ?? Tercih edilebilir.,"['gayet', 'iyi', 'tercih', 'edilebil']"
Anlatildigi gibi Sakal Ense icin bire bir,"['', 'sakal', 'ense', '', 'bir', 'bir']"
mükemmel ürün tavsiye ederim,"['mükemmel', 'ürün', 'tavsiye', 'eder']"
bekledigim gibi geldi tesekkurler powertec:),"['', 'gel', '', '']"
ben çok begendim insallah sorun cikmaz,"['ben', '', '', 'sorun', '']"
Ürün çok kaliteli ve güzel bi ürün,"['ürün', 'kaliteli', 'güzel', '', 'ürün']"
teşekkürler ürün için,"['teşekkür', 'ürün']"
Sakallar için iyi saç için ideal değil,"['sakal', 'iyi', 'saç', 'ideal', 'değil']"
Kargo geç olsada ürün gayet güzel...,"['kargo', 'geç', '', 'ürün', 'gayet', 'güzel']"
Harika ürün mükemmel ulaşım teşekkürler Trendyol,"['harika', 'ürün', 'mükemmel', 'ulaşım', 'teşekkür', '']"
Ürün çok iyi kaliteli çok iyi kesiyor,"['ürün', 'iyi', 'kaliteli', 'iyi', 'kes']"
güzel bir ürün geldi teşekkür ederim,"['güzel', 'bir', 'ürün', 'gel', 'teşekkür', 'eder']"
